[DEBUG] 2023-03-01 13:46:47.611 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2023-03-01 13:46:47.635 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2023-03-01 13:46:47.638 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2023-03-01 13:46:47.947 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2023-03-01 13:46:47.963 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2023-03-01 13:46:48.506 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [.//Hibernate/Hiberntae Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2023-03-01 13:46:48.512 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2023-03-01 13:46:48.540 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2023-03-01 13:46:49.110 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2023-03-01 13:46:49.158 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2023-03-01 13:46:49.159 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2023-03-01 13:46:49.184 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2023-03-01 13:46:49.311 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6c518474
[DEBUG] 2023-03-01 13:46:49.311 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6c518474
[DEBUG] 2023-03-01 13:46:49.313 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6c518474
[DEBUG] 2023-03-01 13:46:49.314 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@5e2a3040
[DEBUG] 2023-03-01 13:46:49.315 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@64524dd
[DEBUG] 2023-03-01 13:46:49.315 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@7479b626
[DEBUG] 2023-03-01 13:46:49.317 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5ff2b8ca
[DEBUG] 2023-03-01 13:46:49.318 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5ff2b8ca
[DEBUG] 2023-03-01 13:46:49.319 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@5ff2b8ca
[DEBUG] 2023-03-01 13:46:49.320 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@5fe7f967
