[DEBUG] 2023-02-26 13:35:38.739 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2023-02-26 13:35:38.769 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2023-02-26 13:35:38.799 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2023-02-26 13:35:39.089 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2023-02-26 13:35:39.092 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2023-02-26 13:35:39.568 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [.//Hibernate/Hiberntae Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2023-02-26 13:35:39.583 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2023-02-26 13:35:39.596 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2023-02-26 13:35:40.355 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2023-02-26 13:35:40.393 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2023-02-26 13:35:40.396 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2023-02-26 13:35:40.444 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2023-02-26 13:35:40.590 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@bbf9e07
[DEBUG] 2023-02-26 13:35:40.611 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@bbf9e07
[DEBUG] 2023-02-26 13:35:40.611 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@bbf9e07
[DEBUG] 2023-02-26 13:35:40.613 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@73d3e555
[DEBUG] 2023-02-26 13:35:40.614 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@74d3b638
[DEBUG] 2023-02-26 13:35:40.615 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@53830483
[DEBUG] 2023-02-26 13:35:40.617 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@71b6d77f
[DEBUG] 2023-02-26 13:35:40.617 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@71b6d77f
[DEBUG] 2023-02-26 13:35:40.617 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@71b6d77f
[DEBUG] 2023-02-26 13:35:40.618 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@622fdb81
[DEBUG] 2023-02-26 13:35:40.625 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@622fdb81
[DEBUG] 2023-02-26 13:35:40.625 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@622fdb81
[DEBUG] 2023-02-26 13:35:40.627 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@574cd322
[DEBUG] 2023-02-26 13:35:40.627 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@574cd322
[DEBUG] 2023-02-26 13:35:40.628 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@574cd322
[DEBUG] 2023-02-26 13:35:40.629 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@475646d4
[DEBUG] 2023-02-26 13:35:40.629 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@475646d4
[DEBUG] 2023-02-26 13:35:40.629 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@475646d4
[DEBUG] 2023-02-26 13:35:40.630 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@2d272b0d
[DEBUG] 2023-02-26 13:35:40.630 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@2d272b0d
[DEBUG] 2023-02-26 13:35:40.631 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@2d272b0d
[DEBUG] 2023-02-26 13:35:40.632 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5c7668ba
[DEBUG] 2023-02-26 13:35:40.632 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5c7668ba
[DEBUG] 2023-02-26 13:35:40.645 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@5c7668ba
[DEBUG] 2023-02-26 13:35:40.653 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@7d9ba6c
[DEBUG] 2023-02-26 13:35:40.659 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@7d9ba6c
[DEBUG] 2023-02-26 13:35:40.659 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@7d9ba6c
[DEBUG] 2023-02-26 13:35:40.662 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@684b31de
[DEBUG] 2023-02-26 13:35:40.663 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@684b31de
[DEBUG] 2023-02-26 13:35:40.664 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@3f4f5330
[DEBUG] 2023-02-26 13:35:40.664 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@3f4f5330
[DEBUG] 2023-02-26 13:35:40.676 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@a0db585
[DEBUG] 2023-02-26 13:35:40.676 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@a0db585
[DEBUG] 2023-02-26 13:35:40.677 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@1894593a
[DEBUG] 2023-02-26 13:35:40.678 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@468dda3e
[DEBUG] 2023-02-26 13:35:40.679 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@67f3d192
[DEBUG] 2023-02-26 13:35:40.679 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@67f3d192
[DEBUG] 2023-02-26 13:35:40.681 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@6b4283c4
[DEBUG] 2023-02-26 13:35:40.681 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@6b4283c4
[DEBUG] 2023-02-26 13:35:40.702 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@103082dd
[DEBUG] 2023-02-26 13:35:40.703 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@103082dd
[DEBUG] 2023-02-26 13:35:40.705 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@67efd2c2
[DEBUG] 2023-02-26 13:35:40.705 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@67efd2c2
[DEBUG] 2023-02-26 13:35:40.708 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@782be4eb
[DEBUG] 2023-02-26 13:35:40.708 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@782be4eb
[DEBUG] 2023-02-26 13:35:40.710 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@6f1a80fb
[DEBUG] 2023-02-26 13:35:40.710 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@6f1a80fb
