[DEBUG] 2023-03-22 14:05:28.554 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2023-03-22 14:05:28.563 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2023-03-22 14:05:28.580 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2023-03-22 14:05:28.916 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2023-03-22 14:05:28.919 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2023-03-22 14:05:30.066 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [.//Hibernate/Hiberntae Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2023-03-22 14:05:30.069 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2023-03-22 14:05:30.105 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2023-03-22 14:05:31.617 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2023-03-22 14:05:31.641 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2023-03-22 14:05:31.643 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2023-03-22 14:05:31.784 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2023-03-22 14:05:31.898 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@381d7219
[DEBUG] 2023-03-22 14:05:31.904 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@381d7219
[DEBUG] 2023-03-22 14:05:31.904 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@381d7219
[DEBUG] 2023-03-22 14:05:31.904 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@329a1f8d
[DEBUG] 2023-03-22 14:05:31.905 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@4d62f4c6
[DEBUG] 2023-03-22 14:05:31.922 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@4cdb8504
[DEBUG] 2023-03-22 14:05:31.924 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@20de05e5
[DEBUG] 2023-03-22 14:05:31.924 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@20de05e5
[DEBUG] 2023-03-22 14:05:31.925 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@20de05e5
[DEBUG] 2023-03-22 14:05:31.926 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@2af46afd
