[DEBUG] 2023-03-03 21:14:02.417 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2023-03-03 21:14:02.443 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2023-03-03 21:14:02.449 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2023-03-03 21:14:02.714 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2023-03-03 21:14:02.722 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2023-03-03 21:14:03.319 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [.//Hibernate/Hiberntae Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2023-03-03 21:14:03.319 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2023-03-03 21:14:03.347 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2023-03-03 21:14:04.070 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2023-03-03 21:14:04.109 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2023-03-03 21:14:04.110 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2023-03-03 21:14:04.143 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2023-03-03 21:14:04.230 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@74294c1a
[DEBUG] 2023-03-03 21:14:04.231 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@74294c1a
[DEBUG] 2023-03-03 21:14:04.231 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@74294c1a
[DEBUG] 2023-03-03 21:14:04.232 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@47a7a101
[DEBUG] 2023-03-03 21:14:04.234 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@74dbb1ee
[DEBUG] 2023-03-03 21:14:04.235 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@6c42f2a1
[DEBUG] 2023-03-03 21:14:04.237 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@65f2f9b0
[DEBUG] 2023-03-03 21:14:04.249 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@65f2f9b0
[DEBUG] 2023-03-03 21:14:04.250 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@65f2f9b0
[DEBUG] 2023-03-03 21:14:04.251 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@38fc5554
[DEBUG] 2023-03-03 21:14:04.253 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@38fc5554
[DEBUG] 2023-03-03 21:14:04.253 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@38fc5554
[DEBUG] 2023-03-03 21:14:04.256 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@4d1f1ff5
[DEBUG] 2023-03-03 21:14:04.256 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@4d1f1ff5
[DEBUG] 2023-03-03 21:14:04.274 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@4d1f1ff5
[DEBUG] 2023-03-03 21:14:04.276 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@5477a1ca
[DEBUG] 2023-03-03 21:14:04.276 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@5477a1ca
[DEBUG] 2023-03-03 21:14:04.276 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@5477a1ca
[DEBUG] 2023-03-03 21:14:04.277 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@23eff5d1
[DEBUG] 2023-03-03 21:14:04.277 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@23eff5d1
[DEBUG] 2023-03-03 21:14:04.278 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@23eff5d1
[DEBUG] 2023-03-03 21:14:04.278 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@316a598d
[DEBUG] 2023-03-03 21:14:04.278 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@316a598d
[DEBUG] 2023-03-03 21:14:04.278 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@316a598d
[DEBUG] 2023-03-03 21:14:04.279 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@2903c6ff
[DEBUG] 2023-03-03 21:14:04.280 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@2903c6ff
[DEBUG] 2023-03-03 21:14:04.280 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@2903c6ff
[DEBUG] 2023-03-03 21:14:04.281 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@d8d9199
[DEBUG] 2023-03-03 21:14:04.281 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@d8d9199
[DEBUG] 2023-03-03 21:14:04.282 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@b835727
[DEBUG] 2023-03-03 21:14:04.282 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@b835727
[DEBUG] 2023-03-03 21:14:04.283 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@319c3a25
[DEBUG] 2023-03-03 21:14:04.283 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@319c3a25
[DEBUG] 2023-03-03 21:14:04.284 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@81b5db0
[DEBUG] 2023-03-03 21:14:04.284 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@4b3fe06e
[DEBUG] 2023-03-03 21:14:04.284 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@3e15bb06
[DEBUG] 2023-03-03 21:14:04.284 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@3e15bb06
[DEBUG] 2023-03-03 21:14:04.285 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@2f61d591
[DEBUG] 2023-03-03 21:14:04.285 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@2f61d591
[DEBUG] 2023-03-03 21:14:04.290 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@75361cf6
[DEBUG] 2023-03-03 21:14:04.290 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@75361cf6
[DEBUG] 2023-03-03 21:14:04.291 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@34b27915
[DEBUG] 2023-03-03 21:14:04.291 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@34b27915
[DEBUG] 2023-03-03 21:14:04.293 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@67a3bd51
[DEBUG] 2023-03-03 21:14:04.293 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@67a3bd51
[DEBUG] 2023-03-03 21:14:04.294 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@2b22a1cc
[DEBUG] 2023-03-03 21:14:04.294 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@2b22a1cc
[DEBUG] 2023-03-03 21:14:04.295 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@102efc59
[DEBUG] 2023-03-03 21:14:04.306 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@102efc59
[DEBUG] 2023-03-03 21:14:04.307 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@19650aa6
[DEBUG] 2023-03-03 21:14:04.308 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@19650aa6
