[DEBUG] 2023-03-01 13:09:19.108 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2023-03-01 13:09:19.147 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2023-03-01 13:09:19.165 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2023-03-01 13:09:19.577 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2023-03-01 13:09:19.589 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2023-03-01 13:09:20.647 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [.//Hibernate/Hiberntae Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2023-03-01 13:09:20.648 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2023-03-01 13:09:20.685 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2023-03-01 13:09:21.763 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2023-03-01 13:09:21.817 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2023-03-01 13:09:21.818 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2023-03-01 13:09:21.955 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2023-03-01 13:09:22.064 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6ff6efdc
[DEBUG] 2023-03-01 13:09:22.065 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6ff6efdc
[DEBUG] 2023-03-01 13:09:22.065 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6ff6efdc
[DEBUG] 2023-03-01 13:09:22.066 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@2b037cfc
[DEBUG] 2023-03-01 13:09:22.067 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@4487c0c2
[DEBUG] 2023-03-01 13:09:22.069 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@29f85fe1
[DEBUG] 2023-03-01 13:09:22.070 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1866da85
[DEBUG] 2023-03-01 13:09:22.071 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1866da85
[DEBUG] 2023-03-01 13:09:22.071 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@1866da85
[DEBUG] 2023-03-01 13:09:22.072 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@1f3165e7
