[DEBUG] 2023-02-26 13:36:28.371 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@7e7ef2fb
[DEBUG] 2023-02-26 13:36:28.371 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@7e7ef2fb
[DEBUG] 2023-02-26 13:36:28.373 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@4cc9e179
[DEBUG] 2023-02-26 13:36:28.373 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@4cc9e179
[DEBUG] 2023-02-26 13:36:28.375 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@558d13bd
[DEBUG] 2023-02-26 13:36:28.375 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@558d13bd
[DEBUG] 2023-02-26 13:36:28.376 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@3ef135b8
[DEBUG] 2023-02-26 13:36:28.411 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@23baf0fe
[DEBUG] 2023-02-26 13:36:28.412 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@b641b2e
[DEBUG] 2023-02-26 13:36:28.412 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@b641b2e
[DEBUG] 2023-02-26 13:36:28.431 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@3505f76c
[DEBUG] 2023-02-26 13:36:28.433 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@3505f76c
[DEBUG] 2023-02-26 13:36:28.453 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@181a350b
[DEBUG] 2023-02-26 13:36:28.454 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@181a350b
[DEBUG] 2023-02-26 13:36:28.458 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@6b40b74b
[DEBUG] 2023-02-26 13:36:28.458 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@6b40b74b
[DEBUG] 2023-02-26 13:36:28.459 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@646e4b34
[DEBUG] 2023-02-26 13:36:28.461 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@646e4b34
[DEBUG] 2023-02-26 13:36:28.463 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@541684d2
[DEBUG] 2023-02-26 13:36:28.463 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@541684d2
[DEBUG] 2023-02-26 13:36:28.465 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@47d5b756
[DEBUG] 2023-02-26 13:36:28.465 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@47d5b756
[DEBUG] 2023-02-26 13:36:28.467 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@7e67070c
[DEBUG] 2023-02-26 13:36:28.467 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@7e67070c
[DEBUG] 2023-02-26 13:36:28.469 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@31052591
[DEBUG] 2023-02-26 13:36:28.469 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@31052591
[DEBUG] 2023-02-26 13:36:28.470 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@57176634
[DEBUG] 2023-02-26 13:36:28.470 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@57176634
[DEBUG] 2023-02-26 13:36:28.485 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@7e2c594c
[DEBUG] 2023-02-26 13:36:28.485 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@7e2c594c
[DEBUG] 2023-02-26 13:36:28.489 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@737def07
[DEBUG] 2023-02-26 13:36:28.490 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@737def07
[DEBUG] 2023-02-26 13:36:28.490 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@737def07
[DEBUG] 2023-02-26 13:36:28.494 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@66f379f9
[DEBUG] 2023-02-26 13:36:28.494 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@7fad9040
[DEBUG] 2023-02-26 13:36:28.496 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@7fad9040
[DEBUG] 2023-02-26 13:36:28.496 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@7fad9040
[DEBUG] 2023-02-26 13:36:28.497 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@120458de
[DEBUG] 2023-02-26 13:36:28.497 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@12b7cc11
[DEBUG] 2023-02-26 13:36:28.498 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@12b7cc11
[DEBUG] 2023-02-26 13:36:28.499 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@69c48c7b
[DEBUG] 2023-02-26 13:36:28.499 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@69c48c7b
[DEBUG] 2023-02-26 13:36:28.500 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@5d925476
[DEBUG] 2023-02-26 13:36:28.500 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@5d925476
[DEBUG] 2023-02-26 13:36:28.501 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@722614a9
[DEBUG] 2023-02-26 13:36:28.501 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@722614a9
[DEBUG] 2023-02-26 13:36:28.503 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@41030798
[DEBUG] 2023-02-26 13:36:28.505 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@41030798
[DEBUG] 2023-02-26 13:36:28.506 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@19daf169
[DEBUG] 2023-02-26 13:36:28.516 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@221dbfe3
[DEBUG] 2023-02-26 13:36:28.516 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@221dbfe3
[DEBUG] 2023-02-26 13:36:28.516 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@221dbfe3
[DEBUG] 2023-02-26 13:36:28.517 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@75da2f84
[DEBUG] 2023-02-26 13:36:28.517 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@75da2f84
[DEBUG] 2023-02-26 13:36:28.517 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@75da2f84
[DEBUG] 2023-02-26 13:36:28.518 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@121902c7
[DEBUG] 2023-02-26 13:36:28.521 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@179cd2cd
