[DEBUG] 2023-02-26 13:38:04.878 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2023-02-26 13:38:04.892 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2023-02-26 13:38:04.920 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2023-02-26 13:38:05.250 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2023-02-26 13:38:05.252 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2023-02-26 13:38:05.697 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [.//Hibernate/Hiberntae Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2023-02-26 13:38:05.699 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2023-02-26 13:38:05.718 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2023-02-26 13:38:06.382 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2023-02-26 13:38:06.463 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2023-02-26 13:38:06.466 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2023-02-26 13:38:06.569 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2023-02-26 13:38:06.752 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6ff6efdc
[DEBUG] 2023-02-26 13:38:06.774 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6ff6efdc
[DEBUG] 2023-02-26 13:38:06.774 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6ff6efdc
[DEBUG] 2023-02-26 13:38:06.775 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@2b037cfc
[DEBUG] 2023-02-26 13:38:06.776 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@4487c0c2
[DEBUG] 2023-02-26 13:38:06.776 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@29f85fe1
[DEBUG] 2023-02-26 13:38:06.777 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1866da85
[DEBUG] 2023-02-26 13:38:06.777 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1866da85
[DEBUG] 2023-02-26 13:38:06.777 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@1866da85
[DEBUG] 2023-02-26 13:38:06.778 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@1f3165e7
[DEBUG] 2023-02-26 13:38:06.778 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@1f3165e7
[DEBUG] 2023-02-26 13:38:06.778 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@1f3165e7
[DEBUG] 2023-02-26 13:38:06.797 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@45c2e0a6
[DEBUG] 2023-02-26 13:38:06.797 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@45c2e0a6
[DEBUG] 2023-02-26 13:38:06.797 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@45c2e0a6
[DEBUG] 2023-02-26 13:38:06.797 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@a0f53fc
[DEBUG] 2023-02-26 13:38:06.798 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@a0f53fc
[DEBUG] 2023-02-26 13:38:06.798 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@a0f53fc
[DEBUG] 2023-02-26 13:38:06.798 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@3727f0ee
[DEBUG] 2023-02-26 13:38:06.798 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@3727f0ee
[DEBUG] 2023-02-26 13:38:06.798 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@3727f0ee
[DEBUG] 2023-02-26 13:38:06.799 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@26221bad
[DEBUG] 2023-02-26 13:38:06.799 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@26221bad
[DEBUG] 2023-02-26 13:38:06.803 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@26221bad
[DEBUG] 2023-02-26 13:38:06.805 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@8deb645
[DEBUG] 2023-02-26 13:38:06.805 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@8deb645
[DEBUG] 2023-02-26 13:38:06.805 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@8deb645
[DEBUG] 2023-02-26 13:38:06.806 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@6b52dd31
[DEBUG] 2023-02-26 13:38:06.806 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@6b52dd31
[DEBUG] 2023-02-26 13:38:06.806 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@14b7786
[DEBUG] 2023-02-26 13:38:06.806 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@14b7786
[DEBUG] 2023-02-26 13:38:06.807 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@2b34e38c
[DEBUG] 2023-02-26 13:38:06.807 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@2b34e38c
[DEBUG] 2023-02-26 13:38:06.815 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@14b0e127
[DEBUG] 2023-02-26 13:38:06.815 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@5527b211
[DEBUG] 2023-02-26 13:38:06.816 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@1c9e07c6
[DEBUG] 2023-02-26 13:38:06.816 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@1c9e07c6
[DEBUG] 2023-02-26 13:38:06.816 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@d0865a3
[DEBUG] 2023-02-26 13:38:06.816 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@d0865a3
